Date,CODMBR,Diff1,Hampel,STL,Wavelet-strong
2022/10/9,94,0,0,0,0
2022/10/10,77,0,0,0,0
2022/10/11,85,0,0,0,0
2022/10/12,98,0,0,0,0
2022/10/13,84,0,0,0,0
2022/10/14,75,0,0,0,0
2022/10/15,121,0,0,1,0
2022/10/16,105,0,0,0,0
2022/10/17,89,0,0,0,0
2022/10/18,77,0,0,0,0
2022/10/19,95,0,0,0,0
2022/10/20,104,0,0,0,0
2022/10/21,108,0,0,0,0
2022/10/22,85,0,0,0,0
2022/10/23,70,0,0,0,0
2022/10/24,47,0,0,0,0
2022/10/25,69,0,0,0,0
2022/10/26,102,0,0,0,0
2022/10/27,97,0,0,0,0
2022/10/28,69,0,0,1,0
2022/10/29,77,0,0,0,0
2022/10/30,83,0,0,0,0
2022/10/31,71,0,0,0,0
2022/11/1,103,0,0,0,0
2022/11/2,97,0,0,0,0
2022/11/3,110,0,0,0,0
2022/11/4,116,0,0,0,0
2022/11/5,93,0,0,0,0
2022/11/6,89,0,0,0,0
2022/11/7,95,0,0,0,0
2022/11/8,96,0,0,0,0
2022/11/9,95,0,0,0,0
2022/11/10,103,0,0,0,0
2022/11/11,98,0,0,0,0
2022/11/12,106,0,0,0,0
2022/11/13,91,0,0,0,0
2022/11/14,77,0,0,0,0
2022/11/15,86,0,0,0,0
2022/11/16,82,0,0,0,0
2022/11/17,83,0,0,0,0
2022/11/18,91,0,0,0,0
2022/11/19,86,0,0,0,0
2022/11/20,93,0,0,0,0
2022/11/21,101,0,0,0,0
2022/11/22,89,0,0,0,0
2022/11/23,92,0,0,0,0
2022/11/24,107,0,0,0,0
2022/11/25,92,0,0,0,0
2022/11/26,95,0,0,0,0
2022/11/27,89,0,0,0,0
2022/11/28,106,0,0,0,0
2022/11/29,101,0,0,0,0
2022/11/30,98,0,0,0,0
2022/12/1,121,0,0,0,0
2022/12/2,124,0,0,0,0
2022/12/3,130,0,0,0,0
2022/12/4,121,0,0,0,0
2022/12/5,125,0,0,0,0
2022/12/6,132,0,0,0,0
2022/12/7,127,0,0,0,0
2022/12/8,132,0,0,0,0
2022/12/9,124,0,0,0,0
2022/12/10,147,1,0,0,0
2022/12/11,173,1,1,1,0
2022/12/12,154,0,0,0,0
2022/12/13,163,0,0,0,0
2022/12/14,156,0,0,0,0
2022/12/15,147,0,0,0,0
2022/12/16,135,0,0,0,0
2022/12/17,125,0,0,0,0
2022/12/18,131,0,0,0,0
2022/12/19,126,0,0,0,0
2022/12/20,122,0,0,0,0
2022/12/21,145,0,0,0,0
2022/12/22,132,0,0,0,0
2022/12/23,142,0,0,0,0
2022/12/24,123,0,0,0,0
2022/12/25,135,0,0,0,0
2022/12/26,123,0,0,0,0
2022/12/27,128,0,0,0,0
2022/12/28,138,0,0,0,0
2022/12/29,125,0,0,1,0
2022/12/30,163,0,0,0,0
2022/12/31,170,0,0,0,0
2023/1/1,176,0,0,0,0
2023/1/2,185,0,0,1,0
2023/1/3,199,0,0,1,0
2023/1/4,167,0,0,0,0
2023/1/5,181,0,0,0,0
2023/1/6,165,0,0,0,0
2023/1/7,157,0,0,0,0
2023/1/8,160,0,0,0,0
2023/1/9,153,0,0,0,0
2023/1/10,148,0,0,0,0
2023/1/11,167,0,0,0,0
2023/1/12,174,0,0,0,0
2023/1/13,162,0,0,0,0
2023/1/14,121,0,0,0,0
2023/1/15,135,0,0,0,0
2023/1/16,140,0,0,0,0
2023/1/17,131,0,0,0,0
2023/1/18,115,0,0,0,0
2023/1/19,125,0,0,0,0
2023/1/20,112,0,0,0,0
2023/1/21,121,0,0,0,0
2023/1/22,109,0,0,0,0
2023/1/23,113,0,0,0,0
2023/1/24,125,0,0,0,0
2023/1/25,115,0,0,0,0
2023/1/26,137,0,0,0,0
2023/1/27,120,0,0,0,0
2023/1/28,121,0,0,0,0
2023/1/29,108,0,0,0,0
2023/1/30,136,0,0,0,0
2023/1/31,127,0,0,0,0
2023/2/1,144,0,0,0,0
2023/2/2,134,0,0,0,0
2023/2/3,128,0,0,0,0
2023/2/4,135,0,0,0,0
2023/2/5,127,0,0,0,0
2023/2/6,118,0,0,0,0
2023/2/7,121,0,0,0,0
2023/2/8,129,0,0,0,0
2023/2/9,116,0,0,0,0
2023/2/10,132,0,0,0,0
2023/2/11,125,0,0,0,0
2023/2/12,131,0,0,0,0
2023/2/13,81,1,1,1,0
2023/2/14,86,0,0,0,0
2023/2/15,95,0,0,0,0
2023/2/16,107,0,0,0,0
2023/2/17,115,0,0,0,0
2023/2/18,103,0,0,0,0
2023/2/19,106,0,0,0,0
2023/2/20,120,0,0,0,0
2023/2/21,128,0,0,0,0
2023/2/22,115,0,0,0,0
2023/2/23,82,1,0,0,0
2023/2/24,97,0,0,0,0
2023/2/25,113,0,0,0,0
2023/2/26,125,0,0,0,0
2023/2/27,112,0,0,0,0
2023/2/28,96,0,0,0,0
2023/3/1,89,0,0,0,0
2023/3/2,79,0,0,0,0
2023/3/3,96,0,0,0,0
2023/3/4,103,0,0,0,0
2023/3/5,115,0,0,0,0
2023/3/6,108,0,0,0,0
2023/3/7,114,0,0,0,0
2023/3/8,111,0,0,0,0
2023/3/9,133,0,0,0,0
2023/3/10,122,0,0,0,0
2023/3/11,129,0,0,0,0
2023/3/12,137,0,0,0,0
2023/3/13,124,0,0,0,0
2023/3/14,112,0,0,0,0
2023/3/15,131,0,0,0,0
2023/3/16,145,0,0,0,1
2023/3/17,108,0,0,0,0
2023/3/18,105,0,0,0,0
2023/3/19,120,0,0,0,0
2023/3/20,114,0,0,0,0
